timestamp,activity,username,source_ip,action,result
2023-02-19 09:33:52,AccessDenied,erica31,38.66.98.198,Failed,Success
2023-07-25 08:01:59,Login,lauren87,110.2.123.237,Success,Success
2023-01-13 23:22:10,ProductView,dramsey,44.229.120.212,Success,Failed
2023-01-02 03:20:37,ProductView,littlesandra,189.36.86.225,Failed,Success
2023-03-27 20:24:57,Login,michellemartinez,149.31.64.186,Success,Failed
2023-03-05 07:52:45,AccessDenied,underwoodjohn,205.87.244.162,Success,Success
2023-05-07 15:22:49,AccessDenied,millermatthew,70.66.39.232,Success,Failed
2023-03-08 19:17:04,OrderPlaced,bradley99,186.201.227.53,Success,Failed
2023-07-19 09:21:41,OrderPlaced,jared50,2.17.22.179,Failed,Success
2023-05-22 14:42:27,Login,josephhines,209.198.145.23,Failed,Success
2023-03-22 19:29:21,Login,dana95,15.3.174.74,Failed,Failed
2023-06-13 16:15:02,ProductView,mitchellrobert,182.121.115.29,Success,Success
2023-05-16 04:01:09,OrderPlaced,fernandezlindsay,33.242.92.116,Success,Success
2023-03-03 19:47:08,ProductView,laurajensen,12.209.179.112,Success,Failed
2023-05-12 06:13:19,Login,drose,34.164.203.251,Failed,Success
2023-04-24 03:34:55,AccessDenied,hunterlaurie,196.165.226.41,Success,Success
2023-04-17 13:21:26,Login,uwilliams,20.88.87.215,Failed,Failed
2023-04-30 02:51:22,ProductView,janet72,147.158.11.98,Failed,Success
2023-03-16 13:22:24,ProductView,hansenstephen,79.214.125.91,Failed,Failed
2023-04-16 16:18:44,ProductView,dixonlisa,130.218.220.121,Failed,Failed
2023-01-14 17:02:18,ProductView,marvindunn,6.156.201.155,Success,Success
2023-02-01 21:51:53,AccessDenied,thomasowens,11.97.211.168,Success,Success
2023-05-30 22:54:20,ProductView,pgraves,168.110.212.204,Success,Success
2023-01-01 10:10:06,Login,thomas11,90.203.93.129,Success,Success
2023-03-29 02:08:24,AccessDenied,sarahbell,136.102.84.130,Failed,Success
2023-06-15 01:45:05,ProductView,christinastout,172.131.8.22,Failed,Success
2023-05-23 14:24:38,OrderPlaced,mward,32.18.169.149,Failed,Success
2023-07-16 16:04:12,ProductView,hunttamara,177.142.45.72,Success,Failed
2023-02-18 20:59:52,AccessDenied,derekknox,79.91.207.246,Success,Success
2023-03-16 23:03:37,AccessDenied,qsmith,46.6.50.113,Success,Failed
2023-02-15 11:58:08,AccessDenied,jennifer40,36.131.19.173,Failed,Failed
2023-08-07 09:30:27,AccessDenied,rsanchez,146.235.27.55,Success,Success
2023-05-11 14:36:04,AccessDenied,patrickfrancis,73.144.182.147,Failed,Failed
2023-07-14 18:50:29,AccessDenied,fsmith,53.18.209.54,Failed,Failed
2023-07-24 20:14:23,OrderPlaced,ybailey,95.211.187.47,Success,Failed
2023-05-20 03:22:20,ProductView,rodriguezbrandon,211.229.125.145,Success,Success
2023-04-01 09:02:46,OrderPlaced,htucker,71.250.178.49,Failed,Success
2023-05-10 20:58:43,OrderPlaced,christopherpowell,30.85.233.103,Failed,Failed
2023-06-18 11:58:49,AccessDenied,mgomez,180.99.2.33,Success,Failed
2023-04-14 20:45:27,AccessDenied,claytonbrandon,216.1.95.153,Success,Failed
2023-04-07 08:51:29,OrderPlaced,buckleyderrick,95.38.35.199,Success,Success
2023-04-30 10:14:35,OrderPlaced,michael37,31.13.79.60,Success,Failed
2023-07-21 02:30:30,ProductView,joshuaboone,110.80.200.40,Failed,Success
2023-05-26 05:24:21,OrderPlaced,dheath,38.246.3.223,Success,Failed
2023-01-21 03:08:19,AccessDenied,stacyholt,50.188.52.59,Failed,Success
2023-04-28 11:25:18,Login,rodriguezteresa,8.228.254.78,Failed,Failed
2023-04-20 09:08:01,AccessDenied,megan08,70.133.218.84,Failed,Failed
2023-05-19 19:42:54,AccessDenied,gonzalezdiana,85.43.97.48,Failed,Success
2023-03-13 09:36:38,ProductView,alexisgonzales,54.14.102.71,Success,Failed
2023-06-09 21:55:20,OrderPlaced,boltonruth,27.218.13.66,Success,Success
2023-01-11 09:05:18,OrderPlaced,batesbethany,119.97.182.48,Success,Failed
2023-05-19 01:30:40,OrderPlaced,achen,30.244.49.230,Failed,Success
2023-05-21 05:18:04,OrderPlaced,brianjohnson,150.90.147.234,Success,Failed
2023-05-24 02:05:39,OrderPlaced,jwilson,92.180.114.53,Success,Failed
2023-04-17 10:29:07,AccessDenied,tanderson,167.31.162.222,Failed,Failed
2023-04-16 03:10:27,AccessDenied,jennifer88,190.181.34.210,Success,Success
2023-02-21 18:09:52,Login,douglas63,3.188.46.149,Failed,Failed
2023-01-11 19:03:24,Login,dawnodonnell,35.2.39.169,Success,Failed
2023-04-18 17:17:15,OrderPlaced,irichards,166.99.0.173,Failed,Failed
2023-05-21 01:07:54,AccessDenied,parkercheryl,135.74.146.196,Failed,Failed
2023-04-20 02:10:20,AccessDenied,matthewwong,62.173.106.157,Success,Success
2023-08-02 11:33:38,Login,holmesmariah,212.39.116.151,Failed,Success
2023-07-12 09:47:00,Login,carol65,2.90.191.50,Failed,Failed
2023-06-30 08:38:15,OrderPlaced,nmiller,173.85.216.94,Success,Failed
2023-06-08 15:45:42,ProductView,gcastillo,177.252.19.173,Success,Failed
2023-04-10 02:48:39,AccessDenied,wrightjessica,37.142.65.29,Success,Failed
2023-04-25 22:53:52,AccessDenied,harringtontracy,162.53.221.219,Failed,Failed
2023-01-29 14:07:35,Login,marshallrobert,10.112.52.176,Failed,Success
2023-02-24 07:44:56,OrderPlaced,jessicabonilla,84.249.255.27,Success,Success
2023-04-12 05:34:11,ProductView,nicolejames,159.176.20.102,Failed,Success
2023-04-08 11:41:14,Login,frostdaniel,101.193.46.116,Success,Failed
2023-06-15 22:54:57,ProductView,shahjason,14.103.105.207,Success,Failed
2023-06-10 15:47:26,OrderPlaced,vbell,112.189.246.85,Success,Failed
2023-08-04 00:07:22,ProductView,jessicarichards,16.237.103.124,Success,Success
2023-01-07 01:17:09,Login,zsuarez,148.115.251.206,Success,Success
2023-05-26 07:36:18,AccessDenied,michellepadilla,141.64.138.128,Success,Success
2023-06-14 10:10:32,AccessDenied,terrance50,17.201.33.167,Success,Failed
2023-06-19 08:46:25,Login,wyatt12,114.48.247.217,Failed,Failed
2023-06-17 00:06:51,Login,butlerlinda,125.173.207.195,Success,Success
2023-04-25 09:25:28,AccessDenied,jenniferknapp,199.145.100.180,Failed,Success
2023-02-28 08:25:47,OrderPlaced,derrick79,74.75.251.160,Failed,Success
2023-04-14 23:17:51,Login,hartpaul,174.235.234.207,Success,Success
2023-04-07 14:27:34,AccessDenied,adamsandrew,43.160.134.202,Success,Success
2023-05-07 01:37:05,Login,barbara83,183.143.63.151,Failed,Failed
2023-03-26 01:01:52,Login,andrea75,83.76.6.187,Success,Success
2023-07-20 17:19:45,Login,ylawson,153.32.69.243,Failed,Success
2023-03-28 04:20:19,ProductView,samuel16,146.19.160.200,Success,Success
2023-04-21 20:54:41,AccessDenied,deborahramirez,159.221.23.43,Failed,Failed
2023-05-19 11:24:34,Login,bvaughn,120.71.3.159,Failed,Failed
2023-07-01 21:55:07,ProductView,michaelachandler,56.18.94.204,Success,Success
2023-07-16 17:00:50,OrderPlaced,osimpson,162.149.139.159,Failed,Success
2023-07-04 17:40:10,Login,daniel34,121.68.166.208,Failed,Success
2023-06-20 10:05:33,OrderPlaced,davidhartman,196.75.99.129,Success,Success
2023-06-08 08:34:49,OrderPlaced,markbarnes,116.75.146.174,Success,Failed
2023-04-24 00:58:05,Login,samantha59,44.167.223.242,Failed,Failed
2023-04-09 02:59:00,Login,melissavasquez,200.213.78.186,Success,Failed
2023-03-05 01:45:38,AccessDenied,jeremiah18,163.153.73.88,Success,Failed
2023-05-17 00:11:11,ProductView,dixongabrielle,109.24.106.46,Failed,Success
2023-07-11 17:20:46,AccessDenied,david77,125.87.206.32,Failed,Success
2023-06-03 13:14:52,OrderPlaced,benjamin72,105.65.207.63,Success,Failed
2023-01-26 11:27:15,ProductView,shannonmoreno,220.138.136.114,Success,Failed
2023-02-14 23:43:15,OrderPlaced,moranjill,47.205.122.170,Failed,Failed
2023-01-12 23:35:41,ProductView,wheelerandrew,163.39.107.58,Success,Success
2023-06-28 12:31:07,Login,william72,146.46.123.194,Failed,Failed
2023-06-09 23:39:59,AccessDenied,meganbishop,208.154.190.110,Success,Failed
2023-07-09 20:56:42,ProductView,blong,196.193.141.204,Success,Success
2023-03-12 07:42:10,ProductView,smithjessica,23.137.60.90,Failed,Success
2023-04-02 17:55:51,ProductView,snorton,86.218.65.10,Success,Failed
2023-03-03 16:29:16,Login,lhester,163.19.220.31,Failed,Failed
2023-05-06 14:26:46,OrderPlaced,jasminegriffith,9.17.109.162,Success,Failed
2023-03-22 13:59:01,ProductView,aimeedixon,80.96.210.171,Success,Failed
2023-04-25 05:38:09,OrderPlaced,vmartin,92.140.93.228,Success,Failed
2023-01-01 23:16:45,AccessDenied,antonio77,26.177.156.193,Success,Failed
2023-03-19 07:01:29,OrderPlaced,adrianalexander,159.95.76.227,Success,Failed
2023-04-05 02:29:18,Login,thomasvargas,128.250.233.149,Failed,Failed
2023-04-14 19:02:28,OrderPlaced,william61,147.29.225.129,Success,Success
2023-01-31 09:06:10,AccessDenied,brianna62,190.77.164.98,Success,Failed
2023-05-09 09:40:58,OrderPlaced,herrerajennifer,158.255.155.78,Failed,Success
2023-01-13 00:45:09,Login,davisstephen,61.198.136.245,Failed,Failed
2023-01-23 20:43:29,Login,jennifer84,95.29.130.176,Success,Success
2023-07-16 11:06:45,ProductView,brandon42,67.173.98.145,Failed,Failed
2023-05-04 07:29:31,AccessDenied,morrowjonathan,36.60.110.54,Failed,Success
2023-06-23 11:01:18,Login,danajackson,122.147.61.13,Failed,Failed
2023-03-28 11:11:47,AccessDenied,vincentrivas,63.172.151.90,Success,Success
2023-04-13 19:35:20,ProductView,alyssa22,194.191.60.235,Failed,Failed
2023-01-07 05:43:46,OrderPlaced,ethomas,133.165.61.140,Failed,Failed
2023-07-06 18:15:19,ProductView,jose82,102.189.191.83,Failed,Success
2023-04-14 19:48:13,AccessDenied,matthewbender,179.165.53.23,Failed,Success
2023-05-25 13:21:41,AccessDenied,reednicole,179.156.55.49,Failed,Success
2023-08-02 16:35:05,AccessDenied,jonesalejandra,124.224.169.156,Success,Success
2023-03-09 08:39:02,ProductView,montgomeryjeffrey,142.255.3.63,Failed,Success
2023-01-04 02:44:01,OrderPlaced,jessicakeller,76.110.73.96,Failed,Success
2023-03-04 08:35:47,AccessDenied,debra22,32.53.194.70,Success,Failed
2023-03-13 23:17:51,OrderPlaced,erik52,15.116.49.245,Success,Success
2023-05-10 22:20:30,Login,gonzalezchristopher,82.29.176.112,Success,Failed
2023-04-26 17:52:27,OrderPlaced,nhiggins,22.222.124.205,Success,Success
2023-05-03 18:17:46,ProductView,beckykirby,59.155.116.157,Success,Failed
2023-04-22 22:48:14,AccessDenied,mercermelissa,63.213.66.70,Success,Success
2023-07-24 00:20:26,AccessDenied,benjamin22,215.197.28.200,Success,Success
2023-08-08 18:05:32,AccessDenied,aguirreharry,29.208.203.30,Success,Success
2023-06-17 11:49:51,ProductView,charlesmoore,158.251.92.243,Failed,Success
2023-06-19 17:02:09,OrderPlaced,dreyes,132.136.35.163,Failed,Success
2023-07-05 05:00:55,Login,timothy15,212.186.110.78,Success,Failed
2023-06-26 08:21:45,ProductView,laurenrodriguez,138.187.206.241,Failed,Success
2023-06-13 15:51:36,Login,amanda89,83.47.170.226,Failed,Failed
2023-01-29 07:14:16,AccessDenied,harpersylvia,25.208.34.152,Failed,Failed
2023-03-27 16:34:45,Login,manningsean,42.104.242.191,Success,Failed
2023-05-16 02:03:57,AccessDenied,xburch,15.48.243.68,Failed,Success
2023-01-18 11:16:19,ProductView,rickbrown,164.95.105.242,Success,Success
2023-02-03 08:36:19,Login,montgomerygeorge,84.113.161.5,Failed,Failed
2023-03-01 19:46:17,OrderPlaced,dcrawford,16.211.159.97,Failed,Success
2023-05-30 06:17:10,Login,wmoore,80.203.251.140,Failed,Success
2023-02-03 05:12:07,ProductView,vbrown,192.252.89.32,Success,Success
2023-06-28 09:26:00,Login,sherri53,168.50.131.46,Success,Failed
2023-06-20 04:16:43,ProductView,lauramurphy,68.232.255.114,Failed,Success
2023-07-18 09:21:09,OrderPlaced,pgray,209.157.140.255,Failed,Failed
2023-03-19 17:54:12,OrderPlaced,lfoster,53.167.139.13,Failed,Failed
2023-08-04 04:24:59,Login,meyerkatherine,160.195.151.203,Success,Success
2023-05-19 14:12:33,AccessDenied,michellegentry,73.116.23.249,Success,Success
2023-06-10 00:30:05,ProductView,michael50,209.203.98.84,Success,Failed
2023-07-10 07:14:39,AccessDenied,larry37,207.238.174.236,Success,Failed
2023-06-26 13:44:10,OrderPlaced,steven59,59.54.240.200,Failed,Success
2023-02-09 07:41:03,Login,robert83,23.59.82.55,Failed,Failed
2023-03-04 09:15:37,ProductView,robert96,10.160.150.205,Failed,Failed
2023-01-14 09:48:54,AccessDenied,shelby03,41.12.31.236,Success,Success
2023-06-25 05:17:35,AccessDenied,fmadden,210.48.120.236,Failed,Success
2023-08-02 19:15:58,Login,lvargas,11.51.198.98,Success,Failed
2023-04-27 17:06:35,Login,gordon17,156.211.58.27,Success,Success
2023-02-08 06:55:24,AccessDenied,wendyevans,17.200.113.123,Failed,Failed
2023-07-24 13:23:07,Login,zburgess,39.117.125.124,Success,Failed
2023-07-13 18:31:04,AccessDenied,scampbell,193.114.187.236,Success,Success
2023-05-30 11:55:04,AccessDenied,zachary57,63.97.12.77,Success,Failed
2023-06-25 18:19:48,ProductView,lindseymichael,16.68.91.80,Success,Failed
2023-06-20 09:24:36,ProductView,anthonyrichards,184.59.145.108,Failed,Failed
2023-01-10 13:51:42,AccessDenied,wdaniels,164.75.189.64,Success,Success
2023-04-13 19:23:32,ProductView,ymiller,49.40.111.153,Failed,Success
2023-01-01 21:49:41,Login,yrogers,109.114.204.83,Failed,Failed
2023-01-27 03:15:46,AccessDenied,jane97,27.62.92.190,Failed,Success
2023-07-25 06:18:52,ProductView,donna31,34.92.21.206,Success,Failed
2023-04-20 01:49:07,ProductView,jcraig,24.182.112.172,Failed,Failed
2023-03-26 19:59:21,ProductView,torresjohn,194.227.5.111,Failed,Success
2023-07-08 18:24:55,ProductView,richard92,101.179.37.105,Success,Failed
2023-01-11 14:54:15,ProductView,oscar32,179.251.112.159,Failed,Success
2023-06-19 22:57:50,ProductView,jeffrey02,40.219.142.17,Success,Failed
2023-07-17 15:01:51,Login,kmccall,156.167.49.118,Success,Success
2023-05-13 11:38:25,OrderPlaced,andrea78,195.218.139.126,Success,Failed
2023-07-01 16:30:48,Login,kellycameron,13.237.190.14,Failed,Failed
2023-01-27 11:58:15,ProductView,vadams,109.94.137.207,Failed,Failed
2023-01-24 07:18:37,AccessDenied,aprilthompson,41.218.171.140,Success,Failed
2023-01-14 18:26:45,OrderPlaced,chad53,24.19.21.200,Failed,Success
2023-05-26 20:26:01,AccessDenied,adrian95,39.141.227.107,Failed,Failed
2023-03-22 14:09:05,OrderPlaced,teresawilliams,12.122.124.3,Failed,Failed
2023-05-19 08:56:23,OrderPlaced,christopherobrien,123.165.174.65,Failed,Failed
2023-04-20 00:20:13,OrderPlaced,ronaldrivera,25.255.46.157,Success,Success
2023-07-29 06:15:48,AccessDenied,thomascody,171.106.250.76,Success,Failed
2023-06-09 15:25:47,ProductView,kanekenneth,112.118.0.23,Failed,Success
2023-06-04 04:54:05,ProductView,pbenson,193.16.205.107,Success,Failed
2023-06-08 01:20:45,AccessDenied,benjaminstevenson,118.23.10.237,Success,Failed
2023-06-26 06:04:36,ProductView,christophersloan,3.99.150.167,Failed,Success
2023-02-09 22:13:58,AccessDenied,robertrivera,58.204.13.53,Failed,Failed
2023-03-18 04:23:29,ProductView,samuelchang,29.124.170.227,Failed,Failed
2023-07-18 23:41:08,AccessDenied,thomas84,34.5.184.255,Success,Success
2023-06-08 05:14:01,AccessDenied,adkinscaleb,34.36.76.34,Failed,Failed
2023-07-29 20:37:42,AccessDenied,hmartinez,191.147.38.109,Failed,Success
2023-06-05 11:14:11,Login,bennettjeffery,219.241.115.1,Success,Success
2023-04-17 00:05:37,OrderPlaced,tmendez,106.204.43.26,Success,Success
2023-06-18 21:28:50,ProductView,ryanbrown,82.42.67.250,Success,Failed
2023-01-02 01:05:31,ProductView,katherinemeadows,155.201.138.165,Success,Success
2023-07-24 19:28:35,AccessDenied,shawnwalters,112.173.125.128,Success,Success
2023-02-07 15:28:15,OrderPlaced,richardolsen,8.57.142.79,Failed,Success
2023-05-27 07:01:43,AccessDenied,mollywise,15.228.106.194,Failed,Failed
2023-06-10 21:54:53,Login,rogermyers,9.199.208.63,Success,Success
2023-03-21 09:36:39,AccessDenied,turnervalerie,173.87.26.129,Failed,Failed
2023-02-26 09:31:03,ProductView,bfox,187.53.198.145,Success,Failed
2023-04-11 10:14:14,AccessDenied,stewartnatalie,191.210.195.83,Success,Failed
2023-03-30 22:38:27,Login,mendezkristen,185.230.24.10,Failed,Failed
2023-05-21 08:29:13,Login,roberthernandez,125.31.207.249,Success,Success
2023-01-15 17:19:40,OrderPlaced,glenn50,21.4.199.106,Failed,Failed
2023-02-15 02:56:29,ProductView,patrick34,33.129.131.13,Failed,Failed
2023-01-01 20:58:23,Login,lhart,177.94.18.134,Success,Failed
2023-06-28 18:55:09,Login,peterfreeman,72.168.84.177,Success,Failed
2023-07-17 11:54:00,Login,floydangela,146.127.74.76,Success,Failed
2023-07-04 13:25:18,Login,weberdaniel,197.116.227.9,Failed,Success
2023-04-09 07:43:10,Login,umiller,115.91.217.26,Success,Success
2023-05-01 13:04:22,Login,tiffanyross,118.104.80.212,Success,Failed
2023-02-06 04:23:20,Login,jamesjesus,46.230.147.122,Failed,Success
2023-07-05 01:36:01,Login,omills,170.134.29.132,Failed,Success
2023-07-14 09:17:14,Login,toddrobbins,187.231.135.39,Failed,Success
2023-05-01 02:17:49,Login,gjohnson,34.46.121.181,Failed,Success
2023-01-04 03:47:58,Login,laurensanders,196.246.226.14,Success,Success
2023-01-22 17:54:55,AccessDenied,bryantannette,202.32.52.111,Success,Failed
2023-07-28 01:08:58,ProductView,crystalandersen,66.237.205.215,Success,Failed
2023-06-18 10:38:03,ProductView,clarkjennifer,135.120.40.30,Success,Failed
2023-04-12 10:42:59,AccessDenied,maypatricia,189.136.206.24,Failed,Success
2023-06-03 22:41:27,AccessDenied,sanchezdustin,135.215.157.160,Success,Failed
2023-08-01 16:18:12,Login,rodom,52.166.113.119,Success,Success
2023-03-08 20:04:20,ProductView,lfrost,139.59.176.2,Failed,Success
2023-02-18 15:46:26,AccessDenied,aaronrodriguez,24.132.231.217,Success,Success
2023-05-25 23:45:38,AccessDenied,hvalenzuela,154.235.236.199,Failed,Success
2023-04-04 19:16:14,AccessDenied,hensleyjuan,124.197.107.128,Success,Success
2023-05-13 05:28:06,OrderPlaced,anelson,53.19.171.229,Success,Failed
2023-02-06 04:06:03,Login,sean48,98.34.41.204,Success,Failed
2023-07-13 18:10:36,ProductView,valenciajoseph,135.167.68.194,Failed,Failed
2023-01-24 09:42:07,Login,wbenson,112.103.88.73,Success,Failed
2023-08-05 19:41:11,ProductView,cherylrichardson,118.66.217.67,Success,Failed
2023-03-26 08:11:30,AccessDenied,stephen67,112.31.199.107,Failed,Failed
2023-06-13 19:55:01,OrderPlaced,tara54,208.86.193.172,Failed,Success
2023-01-14 09:48:03,OrderPlaced,ocampbell,107.232.206.38,Success,Success
2023-04-17 14:39:20,ProductView,tanya30,168.152.219.2,Success,Failed
2023-07-24 22:05:53,ProductView,lwright,78.60.124.28,Success,Success
2023-02-25 23:50:54,ProductView,raymondtodd,201.5.156.1,Failed,Failed
2023-06-04 12:15:24,ProductView,cpowell,206.82.76.169,Success,Failed
2023-04-14 10:47:45,ProductView,dramirez,28.142.148.15,Success,Failed
2023-04-27 08:38:08,ProductView,cmartinez,16.228.58.166,Failed,Success
2023-07-31 21:44:57,OrderPlaced,hooperpatrick,141.89.93.145,Failed,Failed
2023-04-16 11:09:39,Login,ashley28,78.250.208.112,Success,Failed
2023-01-31 20:03:07,Login,annarichardson,176.252.223.15,Failed,Success
2023-02-15 02:32:47,Login,joshuasmith,65.20.194.206,Failed,Failed
2023-05-05 15:18:13,Login,christopherrobinson,94.17.170.33,Success,Success
2023-06-07 01:38:47,Login,palmershane,19.82.42.120,Success,Success
2023-03-26 22:39:17,ProductView,iheath,180.24.49.88,Success,Failed
2023-01-26 17:53:17,Login,lbrock,59.250.199.104,Failed,Failed
2023-06-23 13:01:40,AccessDenied,john76,36.66.57.190,Failed,Failed
2023-05-10 19:10:07,Login,fdavis,184.195.152.86,Success,Failed
2023-03-26 21:21:25,AccessDenied,williamseric,17.225.142.219,Failed,Failed
2023-01-22 00:48:13,Login,qpatel,10.26.40.8,Success,Failed
2023-06-26 08:04:03,OrderPlaced,cunninghamangela,116.28.119.29,Failed,Failed
2023-02-27 10:47:06,OrderPlaced,jesse49,23.203.34.52,Success,Success
2023-04-08 20:20:22,ProductView,jgrimes,37.136.102.18,Success,Success
2023-05-14 09:38:43,OrderPlaced,bdean,81.42.173.35,Success,Success
2023-06-07 08:44:23,AccessDenied,jacqueline71,131.240.48.43,Success,Success
2023-08-06 04:00:09,ProductView,dturner,13.54.55.156,Success,Success
2023-04-10 02:34:54,AccessDenied,melanie78,108.8.185.22,Success,Success
2023-04-19 18:12:24,OrderPlaced,ssmith,149.208.161.177,Success,Success
2023-02-06 06:45:48,OrderPlaced,barbara12,222.22.194.161,Failed,Failed
2023-01-01 09:26:19,OrderPlaced,xfrazier,3.45.171.28,Failed,Failed
2023-01-12 17:07:36,ProductView,vaughnhelen,132.70.38.6,Success,Success
2023-06-14 21:55:09,Login,boothjulie,108.156.148.175,Failed,Failed
2023-06-05 10:15:01,OrderPlaced,oscarmartin,186.85.169.176,Success,Success
2023-03-16 05:21:27,OrderPlaced,jeremy05,115.230.67.109,Success,Failed
2023-04-29 17:55:51,Login,patricklindsey,29.140.42.150,Success,Failed
2023-02-05 17:01:12,Login,sabrina51,182.111.106.205,Success,Failed
2023-05-31 23:56:37,ProductView,xthompson,87.150.1.135,Success,Failed
2023-04-30 08:24:37,ProductView,mcmahonjulie,32.37.52.211,Success,Success
2023-03-24 14:48:14,AccessDenied,krios,73.100.160.109,Success,Success
2023-01-27 07:28:46,Login,riggsbrenda,90.243.222.174,Success,Success
2023-02-04 12:01:23,AccessDenied,diana37,5.24.160.239,Failed,Failed
2023-04-11 03:44:18,OrderPlaced,piercemichael,37.32.207.75,Failed,Success
2023-03-06 18:36:54,OrderPlaced,bbradley,23.31.36.145,Success,Success
2023-08-04 03:49:16,ProductView,watkinsraven,14.218.177.96,Failed,Failed
2023-07-28 23:12:20,OrderPlaced,oconrad,65.250.238.222,Failed,Success
2023-07-13 13:04:41,AccessDenied,danielturner,133.216.214.20,Success,Success
2023-04-27 12:57:02,OrderPlaced,cgriffith,14.115.211.100,Failed,Failed
2023-04-13 07:01:16,AccessDenied,jonesbrian,140.90.223.26,Failed,Failed
2023-06-01 03:18:50,AccessDenied,schultzkatherine,175.236.107.45,Success,Failed
2023-07-22 10:49:36,ProductView,hughesdaniel,69.20.4.160,Failed,Failed
2023-01-10 03:43:21,OrderPlaced,rachelholland,119.56.62.154,Failed,Failed
2023-05-01 19:10:43,Login,derek96,193.249.240.44,Success,Failed
2023-06-26 11:41:19,ProductView,raymond95,14.241.63.197,Success,Success
2023-03-06 18:03:15,ProductView,smithmicheal,211.129.157.102,Success,Success
2023-05-23 03:39:40,OrderPlaced,sellersmegan,51.161.245.38,Success,Failed
